   Z2  A2f    Ex    nmult gmult  
   56  147    14.232    2    2
   53  140    13.071    2    2
   56  146     9.351    1    3
   57  150     7.973    1    7
   54  141    12.586    1   11
   54  139    15.274    2    2
   51  134    11.477    1    2
   57  146    12.151    2    5
   51  133     9.524    1    2
   53  137     4.451    0    2
   54  144    14.624    2    6
   50  132     9.766    1    2
   49  127     5.408    0    2
   56  145     9.372    1    4
   56  147    16.467    2    4
   55  142     8.075    1    4
   52  132    12.657    1    2
   49  129     6.977    1    1
   54  138     9.521    1    3
   56  144    13.291    2    3
   52  137     8.269    1    3
   53  138    16.065    2    4
   52  133     9.451    1    2
   55  140     6.168    1    4
   58  150    13.435    2    3
   48  128     5.410    0    4
   59  151     5.538    0    4
   52  138     5.493    1    2
   56  145    15.142    2    2
   50  129     8.894    1    2
   50  132     5.005    0    1
   50  133    10.508    1    1
   56  147    10.268    2    2
   53  138    10.634    2    1
   53  139     3.182    0    3
   50  133    10.574    1    1
   56  145    14.948    2    4
   55  145     2.034    0    7
   52  138     5.060    0    5
   54  138    11.187    2    1
   54  136     6.744    0    4
   52  135     4.175    1    1
   57  147     6.352    1    1
   52  134     9.080    1    1
   53  138     4.612    1    2
   58  153    11.792    1    5
   53  138     2.877    0    4
   52  135    10.715    1    1
   54  140     5.347    0    4
   52  137     2.172    0    2
   54  142     6.512    1    2
   52  136     7.840    1    2
   55  143    16.602    2    4
   54  141     4.429    1    2
   52  136    13.446    2    1
   56  147     4.204    0    3
   52  134    13.823    1    2
   58  149    10.860    1    5
   59  153     5.649    0    3
   58  147     6.767    1    3
   55  146     8.072    1    1
   54  138    10.254    1    3
   56  147     7.075    1    4
   53  139     8.288    1    3
   53  134     1.533    0    3
   54  142    12.730    2    1
   54  140     4.205    0    5
   53  139     8.644    1    6
   56  148    13.562    2    3
   53  136     6.432    1    3
   56  143    14.386    2    3
   54  138    10.387    1    3
   52  136    11.791    1    6
   52  135    13.626    2    2
   52  136    11.596    2    1
   52  137     9.113    1    3
   58  151    12.314    1    7
   54  139    12.345    2    2
   54  141    10.982    2    1
   52  137     6.179    1    1
   51  134     5.979    1    2
   54  138     8.583    1    2
   60  154    16.958    2    7
   54  140    12.110    2    3
   56  145    14.056    2    3
   52  135     2.033    0    2
   54  142    11.347    2    3
   53  139     9.881    1    5
   52  138    10.455    1    8
   55  146    15.152    3    1
   51  134     8.474    1    1
   56  145    12.708    2    4
   52  136    12.697    2    1
   55  143     4.996    0    6
   52  136     6.755    1    2
   51  134     7.895    1    2
   57  149    10.815    1    4
   54  142     7.580    1    5
   60  156    19.073    2    5
   55  142     5.406    1    2
   52  137     4.722    1    2
   53  137     5.139    0    5
   51  133     6.845    0    2
   56  146     9.894    1    3
   57  143     2.330    0    3
   54  142    10.331    2    3
   58  148     1.435    0    5
   56  146    11.141    2    3
   52  135     9.393    1    2
   57  148    14.790    2    7
   52  138    13.709    2    1
   56  146    10.013    1    7
   56  146     6.330    1    2
   52  137    14.948    2    2
   57  148    12.999    2    2
   56  147     7.044    1    3
   53  140     5.455    1    4
   57  148    14.180    2    3
   55  145     9.937    1    4
   54  141    19.514    3    3
   52  135    11.984    1    3
   52  135     6.457    1    3
   53  138     9.766    1    3
   52  136     9.139    1    4
   59  151     3.576    0    7
   49  131     8.655    1    3
   56  145    14.717    2    3
   50  132    10.549    1    2
   57  148     4.959    1    2
   53  139     7.357    1    2
   56  145    10.342    1    7
   55  145     6.339    1    3
   55  144    15.999    2    6
   53  138     3.593    0    3
   55  142     8.123    1    4
   61  159    12.529    1    5
   55  142    11.575    2    1
   53  136    11.688    1    1
   54  141    11.365    2    2
   53  137     4.904    0    4
   51  133     9.438    1    5
   57  144     7.447    1    4
   55  141    13.493    2    1
   58  149    13.552    2    2
   53  137     7.716    1    1
   53  138     4.749    1    2
   55  140     7.258    1    2
   59  154    12.115    1    8
   51  135    13.271    2    1
   54  141     3.906    1    1
   51  132     5.760    0    3
   51  133     6.847    0    2
   53  138    13.121    2    1
   53  141    10.185    2    2
   55  139     5.605    0    5
   51  133     3.626    0    1
   53  137    10.133    1    7
   57  150     8.139    1    5
   55  143     3.055    0    3
   54  139     2.786    0    2
   57  148     7.302    1    4
   53  137     4.400    0    6
   56  144    17.328    2    5
   51  133     4.978    0    2
   54  138     6.711    1    1
   53  137     5.217    0    4
   54  138     4.540    0    3
   52  136     0.666    0    1
   54  137     7.543    1    3
   52  135     7.146    1    1
   55  143    10.650    1    6
   56  145     6.686    1    4
   50  131     4.497    0    2
   53  136    11.082    1    4
   58  151    11.854    1    2
   56  145    10.046    1    5
   51  132     7.919    1    2
   54  136     4.707    0    4
   49  129     9.433    1    3
   56  146    17.358    2    8
   54  143    16.545    2    2
   53  143     5.479    0   10
   53  140     8.219    1    2
   52  137    11.053    1    7
   53  136     2.475    0    3
   55  144     7.028    1    4
   51  134     6.787    1    2
   51  136    11.388    1    4
   50  131     2.566    0    2
   52  135     4.883    1    1
   51  132     7.482    1    1
   55  146     8.144    1    2
   58  150    12.586    2    1
   57  148    14.876    2    4
   54  144     3.620    0    5
   50  128    11.179    1    2
   54  137    10.353    1    3
   55  143     8.251    1    2
   51  134     6.383    1    1
   52  135     8.795    1    3
   52  135    11.799    1    2
   54  138     3.156    0    2
   54  141    15.226    2    2
   56  143     2.629    0    2
   54  142    14.983    1    6
   57  148    18.537    2    4
   54  141    11.867    2    2
   53  139    11.408    2    4
   51  134     9.351    1    2
   52  136    17.642    2    3
   55  142     4.565    0    4
   51  135     4.565    1    0
   56  144    11.750    1    2
   54  140    13.530    1    2
   54  141    10.916    2    1
   52  135     6.069    1    1
   55  143    10.743    2    2
   60  156    13.055    2    4
   51  134     7.842    1    2
   54  140     8.252    1    1
   53  137     9.536    1    1
   51  132    13.686    1    3
   54  139    14.940    2    2
   61  159    22.991    2    6
   53  134     7.429    1    2
   56  145    15.742    2    3
   52  136    12.176    2    1
   54  140    12.534    2    3
   55  141     9.688    1    6
   54  140     7.765    1    1
   61  158    27.619    3    3
   58  150     3.715    0    4
   55  143     7.001    1    2
   52  139    15.277    2    1
   51  131    13.001    1    4
   54  140     9.630    1    2
   52  138     9.807    2    1
   53  137    12.177    2    2
   56  143     5.181    1    2
   55  143    11.437    1    7
   54  140    10.082    2    1
   55  143     9.284    1    3
   50  132    12.691    1    2
   51  131    10.383    1    3
   54  139    14.130    2    5
   55  139     6.679    1    2
   52  136    16.020    2    1
   58  150     7.794    1    2
   55  143     4.233    0    3
   55  144     2.446    0    6
   55  144     5.085    0    9
   53  136     2.555    0    5
   55  143     9.338    1    3
   54  139     9.998    1    6
   57  146     6.907    1    4
   58  150    15.521    2    5
   51  135    11.509    2    1
   52  137    10.239    1    2
   50  131    10.060    1    2
   54  142     2.957    0    5
   55  144     2.042    0    5
   54  138     8.078    1    3
   53  135    13.783    1    4
   52  137    10.340    1    4
   53  139     9.572    1    3
   51  134    14.201    2    6
   55  141     7.090    1    2
   53  141     6.293    1    2
   53  137     5.694    0    6
   53  137    12.382    2    2
   53  137    11.878    2    1
   57  148    11.637    2    1
   52  136    11.033    2    3
   54  139     1.943    0    1
   58  150    13.941    2    6
   55  142    16.679    3    1
   57  148    11.219    2    2
   60  155    18.578    2    2
   54  143    14.763    2    3
   51  134     8.852    1    3
   52  135     8.590    1    1
   52  135     7.055    1    2
   52  134     2.896    0    1
   54  140    10.304    1    5
   58  150    10.404    1    7
   58  150    15.539    2    4
   54  141    12.830    2    1
   51  133     6.181    0    2
   54  139    13.160    2    2
   52  136    14.052    2    1
   52  135    14.852    2    1
   54  140    13.381    2    3
   53  135     9.043    1    1
   53  137    13.017    2    1
   55  141     4.252    0    3
   55  141     6.271    1    1
   56  146     8.506    1    6
   53  137     6.960    1    2
   59  151     8.340    1    2
   55  144     4.828    1    2
   52  137    11.763    2    3
   52  132     4.072    0    1
   56  146     9.886    1    6
   60  154    13.942    2    2
   56  145    12.680    2    4
   55  144    11.740    1    7
   53  137     7.007    1    1
   53  139     5.574    1    3
   52  135    11.790    1    1
   55  144     7.366    1    3
   54  141     3.196    0    2
   52  138    15.548    2    4
   56  146    15.520    2    5
   54  140     8.060    1    4
   54  141    12.004    1    5
   51  133     6.671    0    2
   51  132    13.521    1    4
   52  136     4.329    0    3
   56  144    13.370    2    3
   57  148     6.999    1    3
   51  133    10.239    1    6
   58  152    15.199    2    6
   56  141     7.841    1    4
   56  146    10.840    2    2
   49  129     4.137    0    3
   58  147     6.766    0    7
   52  137    11.549    2    2
   51  134    12.576    1    2
   61  159    12.237    2    1
   55  141    12.032    2    1
   52  134     8.663    0    3
   51  131     5.389    0    2
   56  148    12.634    2    3
   56  146     5.286    0    6
   52  136    11.039    2    1
   54  141     7.318    1    5
   55  142    14.089    2    4
   57  150    13.012    2    1
   53  137    15.169    2    4
   52  135     4.893    1    1
   53  139     6.472    1    3
   51  134    11.003    1    2
   51  135     6.953    1    2
   57  148    14.037    2    2
   51  134    11.265    1    2
   51  134     0.822    0    1
   50  133     9.092    1    1
   52  132     6.083    0    4
   53  136     3.388    0    3
   54  141     6.485    1    4
   55  147    17.664    3    1
   56  144     9.082    1    2
   56  147    13.267    1    6
   54  138    11.132    1    3
   58  150     8.268    1    4
   51  135    10.623    2    1
   52  135     8.100    1    2
   53  141     3.779    0    5
   55  146     9.439    1    6
   51  132     7.710    1    1
   50  128    12.691    1    2
   54  141    17.048    3    3
   50  131    10.356    1    3
   53  140     9.599    1    3
   55  144     3.681    0    5
   52  136    13.488    2    1
   51  133     8.994    1    1
   56  147    10.172    1    7
   52  135     8.547    1    2
   53  138     4.710    1    2
   56  148     9.483    1    4
   56  147     8.451    1    5
   54  143     4.719    1    3
   55  139     9.667    1    3
   52  135     4.251    1    1
   54  138     1.304    0    2
   55  141     7.214    1    2
   60  154     3.047    0    4
   54  143     8.261    1    4
   56  143     7.594    1    3
   49  128    10.775    1    2
   53  139    10.643    2    2
   55  142    15.256    2    5
   51  134     5.067    1    1
   54  139    16.182    2    2
   54  139     4.099    0    3
   54  137     2.557    0    2
   59  155     5.574    0    7
   51  136    14.933    3    1
   58  151    11.563    2    1
   54  142     9.290    1    4
   56  146    14.322    2    3
   52  134     3.322    0    1
   55  143    10.247    1    7
   52  137     9.921    1    5
   51  136     5.281    1    2
   50  132     7.141    0    1
   55  144     7.113    1    4
   52  133    13.518    1    2
   51  134    10.012    1    2
   56  144     7.365    1    2
   53  139     8.188    1    7
   56  145    12.723    2    2
   53  141     8.953    1    4
   60  156    17.089    2    6
   50  130     7.534    0    2
   55  142    10.212    1    3
   53  136     8.248    1    3
   60  153     7.276    1    3
   53  139     8.437    1    2
   51  134     8.348    1    2
   57  147     2.878    0    4
   52  137    14.244    3    1
   55  141     6.787    1    2
   51  130     4.822    0    3
   55  141     9.105    1    4
   51  130     9.864    1    4
   53  133     8.146    0    4
   56  145    17.214    2    7
   56  145     7.955    1    8
   52  133     8.522    0    5
   51  133     6.272    0    2
   51  134     9.935    1    2
   55  146     8.620    1    6
   58  152    20.821    3    2
   57  148     8.742    1    6
   53  140     4.218    1    1
   53  140     5.979    1    2
   53  137     5.696    0    6
   53  137     8.101    1    2
   55  144     3.262    0    5
   55  144     9.611    1    5
   55  142     5.993    1    2
   49  130     7.407    1    4
   53  139     9.095    1    4
   51  136     5.251    1    2
   51  132     9.544    1    2
   56  146     5.602    0    5
   57  149     7.181    1    4
   55  140    10.409    1    3
   53  134     2.865    0    5
   53  139    13.162    2    4
   56  145    15.540    2    4
   54  141     9.642    1    3
   52  136     6.812    1    1
   51  133     8.524    1    2
   60  152     8.118    0    6
   55  142     8.875    1    2
   53  140    10.993    1    3
   52  132     8.379    0    7
   50  132     6.464    0    1
   54  141     5.448    1    3
   52  135    11.126    1    1
   58  149    10.839    1    5
   59  151     9.552    1    3
   60  154     6.725    0    7
   53  142     5.326    1    2
   54  139     8.869    1    2
   54  141    13.653    2    2
   52  137     5.239    1    1
   51  133     9.569    1    1
   54  138    10.674    1    2
   57  149    15.087    2    5
   52  135     5.511    1    1
   52  137     9.842    2    1
   52  135     7.238    1    4
   52  137     5.893    1    2
   51  133     5.854    0    2
   50  129     4.823    0    3
   51  133     9.795    1    0
   52  136    10.166    2    1
   52  135    14.703    2    2
   56  143     8.219    1    5
   53  141    13.741    2    4
   53  139    17.203    3    1
   57  150    20.228    3    5
   61  158    12.017    1    5
   58  150     7.381    1    2
   54  143    10.952    1    6
   57  145    10.090    1    4
   55  143    13.619    2    1
   58  153    15.379    2    3
   56  145     7.512    1    4
   53  136     9.987    1    3
   56  147    10.453    1    5
   54  138     7.964    1    2
   52  135    16.751    2    2
   50  133     7.130    1    1
   57  145     6.942    1    1
   54  142     7.356    1    2
   56  143     9.155    1    5
   52  137     8.047    1    1
   52  135     6.963    1    1
   51  132     8.675    1    3
   56  148    10.130    1    4
   50  130    13.592    1    2
   49  130     3.263    0    2
   56  146    19.020    2    9
   55  144     5.572    1    3
   48  123     8.549    1    3
   53  136    15.364    2    5
   51  133    11.675    1    5
   55  143    11.155    2    1
   54  140    11.752    2    1
   59  152    11.954    1    6
   55  141     6.985    0    7
   50  131    14.759    2    1
   54  141    10.206    1    5
   57  147     4.724    0    5
   54  139    15.267    2    3
   55  141    10.592    1    2
   55  144     8.773    1    8
   52  136     1.577    0    3
   58  148     6.052    0    6
   55  142    10.691    1   10
   52  135     9.867    1    4
   58  152     7.884    1    2
   53  135    12.980    1    3
   52  134     7.189    0    4
   56  144    13.554    2    3
   61  157     7.935    1    3
   55  141     4.010    0    3
   50  133    11.376    1    2
   55  145    10.478    1    4
   59  150    13.508    2    1
   52  137     8.844    1    2
   52  137    12.216    2    1
   54  142    13.693    2    4
   50  130     7.463    0    2
   54  142    10.796    1    3
   53  138    12.637    1    3
   51  134    14.570    2    2
   54  140     7.202    0    5
   55  144     7.025    1    5
   53  138     4.327    1    1
   51  132     4.429    0    2
   53  133     8.112    0    4
   55  142     6.291    1    4
   58  147     5.785    1    3
   56  147    11.526    1    5
   52  134     9.118    1    1
   50  130    12.382    1    6
   57  146    14.173    2    4
   60  156     9.029    1    5
   52  134    10.116    1    1
   55  143    15.645    2    2
   53  137     8.786    1    4
   50  132     5.256    0    1
   53  137     9.679    1    6
   53  136     2.858    0    3
   54  139    14.389    2    2
   52  134     9.805    0    6
   54  137     4.387    1    1
   50  133     5.992    1    1
   52  135     6.160    1    2
   50  131    10.177    1    2
   53  137     8.903    1    2
   51  131     4.404    0    2
   54  140     5.858    0    6
   51  134     4.984    1    1
   56  146    10.703    1    4
   53  135     9.797    1    5
   54  141    16.169    3    3
   55  143     9.836    1    5
   52  135    10.207    1    2
   53  138     7.272    1    7
   52  135     8.040    1    1
   55  143     8.533    1    4
   53  137     2.550    0    2
   54  136     4.594    0    4
   55  144    12.261    2    3
   56  144    12.425    2    3
   55  141     2.601    0    2
   51  136     9.072    2    1
   52  137     9.015    1    3
   51  133    12.396    1    5
   56  145    10.609    1    7
   52  134     5.348    0    1
   54  139     0.825    0    1
   53  137    14.007    2    1
   53  138    11.603    2    3
   55  144     4.848    1    3
   52  137    13.220    2    2
   54  140     8.463    1    1
   55  143    13.818    2    4
   58  149     7.779    1    4
   55  142    13.767    2    4
   53  135     6.028    0    3
   52  135    12.601    1    2
   57  149    15.683    2    6
   54  141     5.165    1    3
   53  137     5.110    0    5
   52  136     9.278    2    1
   54  139     8.997    1    3
   55  146     1.894    0    3
   54  141    20.393    3    5
   55  143    14.889    2    3
   53  137     6.853    0    9
   53  139     9.669    1    4
   52  137     8.815    2    1
   53  138     5.145    1    2
   53  140    14.412    2    5
   57  146     8.772    1    2
   53  138     2.740    0    5
   53  134     5.331    0    3
   51  135     9.726    2    2
   55  143     6.295    1    1
   52  134     8.776    1    1
   50  131     3.418    0    2
   54  140    15.947    2    2
   59  153    11.048    1    4
   57  149    15.534    2    5
   52  136     5.876    1    2
   56  149    10.299    1    4
   53  139     5.472    0    7
   52  135     9.841    1    3
   56  145    16.132    2    5
   52  135     2.171    0    2
   53  139     6.900    1    5
   56  145    12.830    2    2
   52  136    10.739    1    5
   54  140     8.367    1    2
   51  136    10.799    2    3
   54  142     8.719    1    2
   57  151    12.025    1    7
   58  151    18.618    3    3
   51  134     5.524    1    1
   57  146     3.494    0    3
   55  147     5.755    1    2
   53  140     9.775    2    3
   53  140    10.291    1    5
   53  135     9.620    0    3
   55  141     5.599    0    4
   53  138     8.195    1    4
   51  130     7.937    1    1
   57  147     1.521    0    2
   56  147     6.361    1    3
   56  147    15.979    2    5
   56  144     4.887    0    7
   53  138     3.633    0    5
   56  145     8.444    1    5
   55  141    12.495    1    4
   49  126    16.173    1    4
   56  144     5.332    0    5
   59  152    16.479    2    1
   56  142    10.337    1    3
   52  139    15.540    2    7
   50  129     6.214    1    1
   56  143     9.479    1    7
   57  147    13.412    2    2
   55  145    11.428    2    3
   57  147    13.747    2    4
   59  151     5.965    0    2
   51  131    10.741    0    7
   54  142     8.581    1    6
   55  143     5.379    0    2
   54  137    11.419    1    3
   53  137     6.916    1    3
   56  147    10.142    1    7
   54  140     9.066    1    1
   53  137     6.075    1    1
   57  147     8.882    1    5
   51  135     8.066    1    4
   51  133     1.811    0    1
   54  141    16.315    3    1
   50  132    14.215    1    2
   52  137     6.733    1    4
   57  146     6.868    1    2
   55  145    15.713    3    2
   53  140    10.587    2    3
   54  139     9.690    1    3
   51  131     6.602    0    2
   51  132     9.052    0   10
   54  142     9.842    2    1
   52  137     4.451    1    2
   57  149     9.679    1    3
   53  137     7.089    1    1
   52  136    11.601    2    1
   53  135     4.744    0    4
   50  129    10.516    1    3
   54  139    10.147    1    3
   56  144    12.717    2    1
   52  134     4.063    0    1
   56  147    16.765    2    4
   56  145     9.680    1    4
   55  142     4.103    0    3
   55  143     3.259    0    4
   51  135     9.475    2    1
   52  137    12.987    1    4
   55  145     4.661    0    3
   53  138     1.581    0    2
   55  144     5.973    1    3
   50  129     9.446    1    3
   53  139    11.218    1    3
   55  137     2.850    0    3
   52  133     7.185    1    1
   52  137     7.823    1    3
   54  137    11.380    1    1
   53  138    10.802    1    4
   57  146    13.292    2    1
   53  133     7.525    0    3
   55  139     3.772    0    4
   52  136    13.786    2    1
   53  139    16.984    2    5
   59  153     8.976    1    4
   54  140     3.851    0    4
   53  139     5.820    0    7
   53  137    14.635    2    1
   54  141     7.335    1    4
   55  143     7.887    1    2
   53  140     6.890    1    2
   58  151     7.246    1    5
   54  137     3.787    0    2
   59  152    12.143    1    8
   52  134     3.868    0    1
   55  143     8.601    1    4
   52  136     9.254    1    2
   54  138     3.181    0    4
   50  130    11.990    1    6
   54  143     7.799    1    5
   56  145    10.829    1    5
   53  136    11.739    1    5
   58  151     7.940    1    2
   57  148     3.044    0    7
   54  141    11.287    2    1
   53  137     8.249    1    3
   53  138    13.461    2    7
   51  131     5.090    0    2
   53  139    12.367    2    1
   51  135     8.574    1    5
   53  139    13.746    2    6
   57  147     7.392    1    1
   57  148    16.309    3    0
   54  139     8.942    1    5
   54  141    11.582    2    1
   55  146    10.151    2    3
   53  138    11.523    2    2
   53  140     9.950    2    1
   57  147     8.623    1    2
   49  129     2.551    0    4
   52  135     9.771    1    1
   51  134     0.463    0    1
   52  136    10.402    1    2
   49  129     8.945    1    2
   52  133    10.638    1    3
   54  143    14.066    2    4
   55  144     5.828    1    1
   56  142     2.430    0    3
   58  153    17.279    2    5
   51  132    11.059    1    3
   55  141     4.253    0    6
   55  143    16.771    2    7
   54  138     6.474    0    4
   54  141    13.139    2    2
   53  139    13.590    2    4
   53  140     7.835    1    3
   50  128    12.064    1    2
   57  146     7.987    1    4
   56  145    12.848    2    2
   53  142    10.364    2    1
   54  141    13.045    2    1
   56  145    11.346    2    1
   52  134     4.825    0    2
   53  138     3.807    0    2
   51  133     7.933    1    2
   53  137    12.907    2    2
   51  134    14.121    2    1
   58  151    12.656    1    5
   52  138    15.635    3    1
   51  133    11.003    1    3
   53  136    13.171    1    2
   54  141    12.480    2    1
   53  137    13.361    2    3
   52  133     3.095    0    3
   52  137     5.204    0    7
   56  144     7.974    1    2
   51  134     9.523    1    1
   57  148    11.861    1    2
   56  148    10.576    2    3
   54  141    17.396    3    4
   56  144    10.099    1    3
   55  145     3.683    0    4
   54  139     9.828    1    4
   57  150    12.526    1    5
   58  151     9.541    1    6
   57  149    12.637    2    1
   56  146    15.245    2    7
   57  146    11.161    2    1
   55  144    13.535    2    4
   52  137    10.249    2    2
   54  143    19.249    3    5
   52  133     6.115    0    2
   53  137    13.760    1    5
   59  153    10.770    1    4
   54  140     8.553    1    2
   52  134    14.018    1    4
   52  136     3.978    0    3
   50  132    10.916    1    2
   56  145     7.941    1    6
   53  138    12.138    2    3
   57  146     6.161    1    2
   55  143     9.591    1    9
   55  142     6.812    1    2
   51  136    13.074    2    3
   54  140    10.472    1    2
   54  139    14.824    2    2
   53  137     9.987    1    3
   59  153    17.470    2    7
   51  134     5.236    1    2
   58  152    14.940    2    3
   53  137     9.452    1    4
   52  136    10.247    1    3
   53  137     8.262    1    3
   54  136     6.834    0    4
   52  136     8.372    1    4
   53  139    12.270    2    2
   50  132     3.544    0    1
   57  150    14.623    2    1
   56  143    13.619    1    7
   58  152    23.656    3    4
   52  136     8.354    1    1
   50  131     9.753    1    2
   56  149    13.654    2    8
   53  136    12.420    1    5
   52  135    11.309    1    2
   59  153    11.352    1    3
   55  142     7.221    1    3
   53  138    13.934    2    1
   51  131     0.278    0    1
   56  144    12.341    2    3
   49  129     9.481    1    1
   57  149     7.111    0    7
   56  146    10.598    1    4
   53  136     2.069    0    5
   55  141     4.528    0    3
   58  151    21.497    3    6
   51  133     4.492    0    2
   53  137     9.404    1    4
   52  138     9.314    2    2
   51  136    14.364    2    1
   52  136    13.514    2    1
   50  129    10.888    1    1
   52  135     2.310    0    2
   54  140    16.245    2    3
   50  131    13.327    1    3
   57  145     8.333    1    1
   52  134     5.066    0    2
   56  146     7.508    1    3
   51  135     4.807    1    2
   52  136     7.766    1    3
   57  146    11.256    2    0
   53  137    12.785    2    2
   53  139     2.464    0    5
   52  139     5.950    1    5
   51  132     7.410    1    1
   59  154    21.653    2    5
   52  136    10.213    1    2
   53  134     0.936    0    2
   53  135     6.873    0    4
   52  135     6.052    1    1
   53  136    11.736    1    3
   51  132    11.953    1    2
   55  142    12.400    2    2
   55  142     7.207    1    2
   56  146     8.515    1    8
   53  138    12.507    2    3
   51  131     8.090    0    4
   55  144     9.646    2    1
   55  145    10.301    2    1
   50  133    11.911    1    1
   55  146    11.326    2    3
   52  131     1.050    0    2
   51  132     3.632    0    4
   57  148    15.170    2    3
   52  138    15.468    3    1
   51  134     5.563    1    2
   55  141    12.823    2    3
   55  141     7.996    1    2
   51  135     5.065    1    2
   53  137    11.551    1    3
   56  145     6.038    1    1
   54  138     9.770    1    1
   52  136     7.649    1    1
   57  150     3.710    0    2
   53  137    14.106    2    1
   53  142     4.247    1    3
   55  144     4.879    1    2
   50  131    10.705    1    1
   51  133     9.771    1    4
   56  147    10.028    1    4
   56  142    11.967    1    6
   51  131     6.561    0    3
   53  136     8.044    1    2
   54  144     9.081    2    2
   54  140    10.083    1    1
   53  139    11.046    2    3
   52  132    11.067    1    5
   60  153    13.713    1    9
   58  147     8.274    1    2
   56  145    11.258    1    7
   55  141     8.665    1    4
   52  137     7.827    1    3
   52  135     4.022    0    3
   53  140    14.118    2    5
   56  146    17.347    2    6
   55  142     2.326    0    6
   51  136    13.614    2    3
   55  140     7.270    1    2
   57  151    15.552    2    6
   56  146    15.764    2    6
   59  151     5.352    0    4
   52  134    15.746    1    1
   54  139     7.092    1    4
   55  143     9.734    1    6
   49  128    12.323    1    3
   59  151     9.039    1    2
   53  140    10.509    2    2
   56  145    10.398    1    4
   54  140     5.988    1    1
   52  135    11.701    1    1
   51  131     9.929    1    2
   53  136     6.014    1    2
   53  138     6.269    1    3
   52  137     6.171    1    3
   53  138    12.346    2    3
   54  140     5.204    0    3
   51  132     8.307    1    1
   51  134     2.502    0    2
   52  137     4.705    1    2
   58  150     4.330    0    7
   51  132     2.325    0    2
   57  147     8.396    1    4
   55  143     7.951    1    3
   54  138     7.586    1    3
   52  135     9.602    1    1
   54  143     4.355    1    2
   54  143     2.894    0    4
   56  145    12.681    2    2
   54  143     8.904    1    3
   57  148    14.621    2    4
   52  135     7.504    1    3
   52  134     6.089    0    2
   53  137    11.374    1    6
   58  147     6.558    1    2
   56  146     9.915    1    3
   56  144    12.736    2    1
   52  133     3.955    0    3
   60  155    10.826    1    5
   55  143    13.317    1    8
   54  141     7.878    1    4
   50  129    13.102    1    4
   53  137     0.832    0    2
   53  139     7.808    1    2
   52  135    16.852    2    3
   52  133     5.649    0    2
   50  133     6.810    1    1
   56  146    12.351    2    3
   53  135     5.276    0    3
   55  145     5.403    1    1
   51  134    10.929    1    1
   54  142    12.072    2    4
   54  138    13.972    1    5
   57  151    14.487    2    5
   53  136     6.670    1    1
   53  139     8.255    1    7
   52  134     9.536    1    2
   57  148    13.235    1    4
   49  128     8.796    1    1
   51  133     5.130    0    2
   51  130     8.277    1    2
   48  127    13.213    2    4
   55  140     7.350    1    3
   52  137    13.577    2    3
   52  136     7.763    1    1
   52  134     6.849    0    3
   56  145    13.781    2    4
   54  138    12.436    1    2
   54  137     1.407    0    3
   49  129     8.038    1    1
   55  144    10.547    2    2
   52  134     5.478    0    2
   51  133    14.384    1    3
   56  145    13.654    2    4
   52  133     6.285    0    3
   55  144     6.225    1    3
   53  135     2.813    0    2
   55  141    11.750    1    4
   53  141     5.443    1    4
   52  135     9.755    1    2
   54  140    14.214    2    1
   55  144    13.865    2    5
   52  137    16.370    3    1
   52  134    13.214    1    5
   58  148     4.047    0    4
   52  135     8.868    1    2
   54  137     5.692    1    1
   56  146    15.282    2    4
   52  135     8.422    1    1
   56  143     5.769    1    2
   55  144     7.952    1    4
   54  138     5.909    0    5
   53  135     7.367    0    4
   60  156    15.094    2    3
   54  139     4.668    0    4
   55  144    12.703    2    3
   49  128     9.545    1    3
   59  152     8.628    1    4
   54  141     6.680    1    1
   55  145    13.395    1   10
   53  138     8.135    1    2
   56  147     0.819    0    2
   56  148     7.908    1    2
   54  142    10.768    2    3
   58  152    14.432    2    4
   52  134     6.895    0    6
   57  146     8.016    1    4
   52  137     6.400    1    2
   53  138     8.159    1    4
   52  136    13.738    2    1
   51  133    10.645    1    2
   51  133     8.265    1    1
   50  131     6.676    1    1
   53  136     2.160    0    3
   53  137     7.077    1    3
   55  143     5.716    0    6
   50  134     5.141    1    2
   55  144    14.148    2    4
   53  141    14.381    3    1
   54  140     6.714    1    1
   57  146    12.694    2    1
   52  136     5.704    1    1
   60  155    11.996    1    3
   53  138     5.576    1    3
   51  135     5.089    1    2
   59  153    16.143    2    9
   57  148    19.820    2    3
   54  140    10.657    2    2
   51  134    11.570    1    1
   53  136    11.475    1    3
   54  139     5.396    1    3
   57  148     9.331    1    7
   50  131     4.875    0    2
   53  136     3.782    0    4
   55  145    11.343    2    2
   57  145     2.229    0    4
   53  139    12.267    2    3
   54  140    11.017    2    2
   52  135     8.852    1    5
   51  134    13.784    1    3
   53  135     6.292    0    2
   52  133     7.254    0    4
   54  142     5.630    0    4
   59  152    20.301    2    3
   52  135     7.952    1    3
   52  136    14.417    2    1
   55  144     1.751    0    3
   55  143     5.878    1    2
   52  135    10.018    1    2
   55  142    11.739    1    5
   53  136     9.367    1    2
   54  142     4.521    0    3
   55  145    12.553    1    3
   53  137    13.933    2    2
   51  133     3.354    0    2
   52  136    15.554    2    2
   59  150     3.117    0    2
   57  147     9.714    1    4
   51  136    12.334    2    2
   55  145    14.410    2    7
   53  138     7.162    1    3
   51  131     7.705    0    3
   51  133    11.797    1    3
   58  154     9.710    1    4
   53  138    16.808    3    1
   54  138    11.780    2    1
