   Z2  A2f    Ex    nmult gmult  
   56  141     8.846    1    3
   52  133    13.341    1    3
   50  135     9.975    2    0
   57  146     6.629    1    3
   53  138    10.230    1    5
   55  139     8.383    1    2
   54  142     8.493    1    3
   49  129     8.707    1    1
   52  133     5.021    0    2
   53  137    11.299    1    5
   51  133    12.217    1    4
   53  137    11.243    1    5
   52  133    12.365    1    3
   52  135    14.703    1    3
   55  143     7.649    1    7
   52  139     9.227    1    5
   53  136     6.703    1    2
   54  139     5.862    1    3
   55  143    10.138    2    1
   53  137    10.571    2    1
   51  131     4.895    0    3
   53  139    12.918    2    3
   51  134     5.173    1    1
   52  133     7.172    1    1
   50  131    10.422    1    2
   55  147    14.780    2    7
   51  132     8.895    1    1
   51  134     4.386    0    9
   52  133    15.190    1    5
   53  140     8.546    1    2
   54  143    14.420    2    3
   53  140     3.189    0    4
   52  135     9.977    1    1
   58  151     6.268    1    3
   51  133     9.656    1    1
   50  131     5.708    1    1
   50  130    11.474    1    4
   53  140    13.554    2    3
   58  151     4.508    0    3
   53  140    11.826    1   10
   49  130     7.689    1    3
   53  136    15.940    1    3
   53  139     9.588    1    5
   55  143    16.480    2    1
   55  145    12.552    2    5
   52  132    14.100    1    3
   57  147     6.483    0    8
   52  135     9.680    1    1
   53  140     6.790    1    4
   52  134    10.687    1    1
   56  147    14.919    2    5
   52  135    10.074    1    2
   52  137     6.543    1    4
   53  138     3.355    0    2
   58  152     7.723    1    3
   52  136     9.567    1    3
   51  135     6.634    1    3
   61  158    15.926    2    6
   53  139     5.777    1    3
   58  149    19.175    2    5
   57  147    10.341    1    4
   48  127     9.137    1    3
   52  136     9.392    1    3
   51  132    12.737    1    2
   56  144    13.738    2    2
   52  135    10.829    1    2
   55  142    13.239    2    3
   53  136    15.429    2    3
   50  129    13.849    1    2
   57  149    15.626    2    5
   52  137    10.217    1    4
   52  135     4.222    1    1
   53  138    10.897    2    4
   57  147    13.557    2    5
   53  138     8.717    1    3
   51  133     2.155    0    1
   55  145    10.269    2    0
   53  137     4.816    0    4
   51  132     7.153    1    1
   56  145    12.692    2    2
   58  148     9.942    1    4
   53  136     4.277    1    1
   58  151    10.583    1    7
   52  133     9.437    1    3
   51  133     9.657    1    4
   53  137     8.518    1    1
   56  144     4.685    0    5
   57  148    11.264    2    1
   53  138     9.636    1    3
   58  149    10.949    1    7
   55  145     9.684    1    5
   53  137     6.558    1    2
   56  142     3.498    0    4
   56  144     5.782    0    7
   57  148    14.478    2    5
   52  134     4.577    0    2
   51  133    14.182    1    3
   52  131     6.691    0    4
   55  142     5.749    1    3
   53  139    14.238    2    3
   57  147    17.749    2    5
   54  140     6.555    1    1
   57  148     9.984    1    5
   55  140     7.646    1    3
   50  128     2.121    0    2
   54  139     6.972    1    4
   55  142     5.439    1    1
   56  145    10.135    1    4
   53  138     6.945    1    6
   54  142     3.161    0    4
   57  149    11.207    1    6
   53  138     7.987    1    2
   57  148    19.430    3    2
   52  135     6.814    1    1
   55  143     9.894    1    3
   52  133    15.575    1    5
   58  152    15.781    2    4
   53  139    14.758    2    7
   54  139     1.977    0    1
   56  141     8.239    1    3
   51  132     8.736    1    2
   53  141    13.398    2    4
   61  160    14.247    2    2
   55  141    12.285    2    3
   54  138    12.970    2    2
   55  143    11.000    1    1
   53  139     6.938    1    3
   49  131     9.534    1    2
   53  138    11.147    2    2
   52  134     7.499    0    3
   53  138    12.532    2    5
   55  143    17.428    2    4
   53  139    12.620    2    4
   50  131    14.067    1    3
   53  137     6.682    1    3
   56  143     7.572    1    2
   52  138    12.943    2    4
   52  135    14.603    2    1
   58  150    15.460    2    6
   52  137     8.339    1    5
   57  150    18.182    2    5
   50  130    11.716    1    6
   55  144     0.527    0    2
   57  146    12.324    2    1
   56  147    13.941    2    5
   55  143     3.453    0    4
   55  144     9.350    1    3
   50  133    10.962    1    2
